mRNA_case_submitter_id,clinical_case_submitter_id
TCGA-FS-A1ZR-06A-21R-A18U-07,TCGA-FS-A1ZU
TCGA-FS-A1ZS-06A-12R-A18T-07,TCGA-FS-A1ZW
TCGA-FS-A1ZT-06A-11R-A18U-07,TCGA-FS-A1ZY
TCGA-FS-A1ZU-06A-12R-A18T-07,TCGA-FS-A1ZZ
TCGA-FS-A1ZW-06A-12R-A18T-07,TCGA-FS-A4F0
TCGA-FS-A1ZY-06A-11R-A18S-07,TCGA-FS-A4F2
TCGA-FS-A1ZZ-06A-11R-A18S-07,TCGA-FS-A4F4
TCGA-FS-A4F0-06A-11R-A24X-07,TCGA-FS-A4F5
TCGA-FS-A4F2-06A-11R-A24X-07,TCGA-FS-A4F8
TCGA-FS-A4F4-06A-12R-A266-07,TCGA-FS-A4F9
TCGA-FS-A4F5-06A-11R-A266-07,TCGA-FS-A4FB
TCGA-FS-A4F8-06A-11R-A266-07,TCGA-FS-A4FC
TCGA-FS-A4F9-06A-11R-A24X-07,TCGA-FS-A4FD
TCGA-FS-A4FB-06A-11R-A266-07,TCGA-FW-A3I3
TCGA-FS-A4FC-06A-11R-A24X-07,TCGA-FW-A3R5
TCGA-FS-A4FD-06A-11R-A266-07,TCGA-FW-A3TU
TCGA-FW-A3I3-06A-11R-A21D-07,TCGA-FW-A3TV
TCGA-FW-A3R5-06A-11R-A239-07,TCGA-FW-A5DX
TCGA-FW-A3TU-06A-11R-A239-07,TCGA-FW-A5DY
TCGA-FW-A3TV-06A-11R-A239-07,TCGA-GF-A2C7
TCGA-FW-A5DX-01A-11R-A27Q-07,TCGA-GF-A3OT
TCGA-FW-A5DY-06A-11R-A311-07,TCGA-GF-A4EO
TCGA-GF-A2C7-01A-11R-A18T-07,TCGA-GF-A6C8
TCGA-GF-A3OT-06A-23R-A239-07,TCGA-GF-A6C9
TCGA-GF-A4EO-06A-12R-A24X-07,TCGA-GF-A769
TCGA-GF-A6C8-06A-12R-A311-07,TCGA-GN-A262
TCGA-GF-A6C9-06A-11R-A311-07,TCGA-GN-A263
TCGA-GF-A769-01A-32R-A32P-07,TCGA-GN-A264
TCGA-GN-A262-06A-11R-A18T-07,TCGA-GN-A265
TCGA-GN-A263-01A-11R-A18T-07,TCGA-GN-A266
TCGA-GN-A264-06A-11R-A18U-07,TCGA-GN-A267
TCGA-GN-A265-06A-21R-A18T-07,TCGA-GN-A268
TCGA-GN-A266-06A-11R-A18T-07,TCGA-GN-A269
TCGA-GN-A267-06A-21R-A18T-07,TCGA-GN-A26A
TCGA-GN-A268-06A-11R-A18T-07,TCGA-GN-A26C
TCGA-GN-A26A-06A-11R-A18T-07,TCGA-GN-A26D
TCGA-GN-A26C-01A-11R-A18T-07,TCGA-GN-A4U3
TCGA-GN-A26D-06A-11R-A18T-07,TCGA-GN-A4U4
TCGA-GN-A4U3-06A-11R-A32P-07,TCGA-GN-A4U5
TCGA-GN-A4U4-06A-11R-A32P-07,TCGA-GN-A4U7
TCGA-GN-A4U5-01A-11R-A32P-07,TCGA-GN-A4U8
TCGA-GN-A4U7-06A-21R-A32P-07,TCGA-GN-A4U9
TCGA-GN-A4U8-11A-11R-A32P-07,TCGA-GN-A8LK
TCGA-GN-A4U8-06A-11R-A32P-07,TCGA-GN-A8LL
TCGA-GN-A4U9-06A-11R-A32P-07,TCGA-GN-A8LN
TCGA-GN-A8LK-06A-11R-A37K-07,TCGA-GN-A9SD
TCGA-GN-A8LL-06A-21R-A37K-07,TCGA-HR-A2OG
TCGA-GN-A8LN-01A-11R-A37K-07,TCGA-HR-A2OH
TCGA-GN-A9SD-06A-11R-A40A-07,TCGA-HR-A5NC
TCGA-HR-A2OG-06A-21R-A18U-07,TCGA-IH-A3EA
TCGA-HR-A2OH-06A-11R-A18U-07,TCGA-LH-A9QB
TCGA-HR-A5NC-01A-11R-A27Q-07,TCGA-OD-A75X
TCGA-IH-A3EA-01A-11R-A20F-07,TCGA-QB-A6FS
TCGA-LH-A9QB-06A-11R-A38C-07,TCGA-QB-AA9O
TCGA-OD-A75X-06A-12R-A32P-07,TCGA-RP-A690
TCGA-QB-A6FS-06A-11R-A311-07,TCGA-RP-A693
TCGA-QB-AA9O-06A-11R-A39D-07,TCGA-RP-A694
TCGA-RP-A690-06A-11R-A311-07,TCGA-RP-A695
TCGA-RP-A693-06A-13R-A311-07,TCGA-RP-A6K9
TCGA-RP-A694-06A-11R-A311-07,TCGA-W3-A824
TCGA-RP-A695-06A-11R-A311-07,TCGA-W3-A825
TCGA-RP-A6K9-06A-41R-A352-07,TCGA-W3-A828
TCGA-W3-A824-06A-21R-A352-07,TCGA-W3-AA1O
TCGA-W3-A825-06A-11R-A352-07,TCGA-W3-AA1Q
TCGA-W3-A828-06A-11R-A352-07,TCGA-W3-AA1R
TCGA-W3-AA1O-06A-11R-A38C-07,TCGA-W3-AA1V
TCGA-W3-AA1Q-06A-11R-A38C-07,TCGA-W3-AA1W
TCGA-W3-AA1R-06A-11R-A39D-07,TCGA-W3-AA21
TCGA-W3-AA1V-06B-11R-A40A-07,TCGA-WE-A8JZ
TCGA-W3-AA1W-06A-11R-A38C-07,TCGA-WE-A8K1
TCGA-W3-AA21-06A-11R-A38C-07,TCGA-WE-A8K4
TCGA-WE-A8JZ-06A-11R-A37K-07,TCGA-WE-A8K5
TCGA-WE-A8K1-06A-21R-A37K-07,TCGA-WE-A8K6
TCGA-WE-A8K4-01A-12R-A37K-07,TCGA-WE-A8ZM
TCGA-WE-A8K5-06A-11R-A37K-07,TCGA-WE-A8ZN
TCGA-WE-A8K6-06A-11R-A37K-07,TCGA-WE-A8ZO
TCGA-WE-A8ZM-06A-11R-A37K-07,TCGA-WE-A8ZQ
TCGA-WE-A8ZN-06A-11R-A37K-07,TCGA-WE-A8ZR
TCGA-WE-A8ZO-06A-11R-A37K-07,TCGA-WE-A8ZT
TCGA-WE-A8ZQ-06A-41R-A37K-07,TCGA-WE-A8ZX
TCGA-WE-A8ZR-06A-11R-A37K-07,TCGA-WE-A8ZY
TCGA-WE-A8ZT-06A-11R-A37K-07,TCGA-WE-AA9Y
TCGA-WE-A8ZX-06A-11R-A37K-07,TCGA-WE-AAA0
TCGA-WE-A8ZY-06A-11R-A37K-07,TCGA-WE-AAA3
TCGA-WE-AA9Y-06A-12R-A38C-07,TCGA-WE-AAA4
TCGA-WE-AAA0-06A-11R-A38C-07,
TCGA-WE-AAA3-06A-11R-A38C-07,
TCGA-WE-AAA4-06A-12R-A38C-07,
TCGA-XV-A9VZ-01A-11R-A38C-07,TCGA-XV-A9VZ
TCGA-XV-A9W2-01A-11R-A39D-07,TCGA-XV-A9W2
TCGA-XV-A9W5-01A-11R-A38C-07,TCGA-XV-A9W5
TCGA-XV-AAZV-01A-11R-A40A-07,TCGA-XV-AAZV
TCGA-XV-AAZW-01A-12R-A40A-07,TCGA-XV-AAZW
TCGA-XV-AAZY-01A-12R-A40A-07,TCGA-XV-AAZY
TCGA-XV-AB01-06A-12R-A40A-07,TCGA-XV-AB01
TCGA-YD-A89C-06A-11R-A37K-07,TCGA-YD-A89C
TCGA-YD-A9TA-06A-11R-A39D-07,TCGA-YD-A9TA
TCGA-YD-A9TB-06A-12R-A40A-07,TCGA-YD-A9TB
TCGA-YG-AA3N-01A-11R-A38C-07,TCGA-YG-AA3N
TCGA-YG-AA3O-06A-11R-A38C-07,TCGA-YG-AA3O
TCGA-YG-AA3P-06A-11R-A38C-07,TCGA-YG-AA3P
TCGA-Z2-A8RT-06A-11R-A37K-07,TCGA-Z2-A8RT
TCGA-Z2-AA3S-06A-11R-A39D-07,TCGA-Z2-AA3S
TCGA-Z2-AA3V-06A-11R-A39D-07,TCGA-Z2-AA3V
