mRNA_case_submitter_id,clinical_case_submitter_id
TCGA-D3-A5GS-06A-11R-A27Q-07,TCGA-D3-A5GT
TCGA-D3-A5GT-01A-12R-A311-07,TCGA-D3-A5GU
TCGA-D3-A5GU-06A-11R-A27Q-07,TCGA-D3-A8GB
TCGA-D3-A8GB-06A-11R-A37K-07,TCGA-D3-A8GC
TCGA-D3-A8GC-06A-11R-A37K-07,TCGA-D3-A8GD
TCGA-D3-A8GD-06A-11R-A37K-07,TCGA-D3-A8GE
TCGA-D3-A8GE-06A-11R-A37K-07,TCGA-D3-A8GI
TCGA-D3-A8GI-06A-11R-A37K-07,TCGA-D3-A8GJ
TCGA-D3-A8GJ-06A-11R-A37K-07,TCGA-D3-A8GK
TCGA-D3-A8GK-06A-11R-A37K-07,TCGA-D3-A8GL
TCGA-D3-A8GL-06A-11R-A37K-07,TCGA-D3-A8GM
TCGA-D3-A8GM-06A-11R-A37K-07,TCGA-D3-A8GN
TCGA-D3-A8GN-06A-11R-A37K-07,TCGA-D3-A8GO
TCGA-D3-A8GO-06A-11R-A37K-07,TCGA-D3-A8GP
TCGA-D3-A8GP-06A-11R-A37K-07,TCGA-D3-A8GQ
TCGA-D3-A8GQ-06A-11R-A37K-07,TCGA-D3-A8GR
TCGA-D3-A8GR-06A-11R-A37K-07,TCGA-D3-A8GS
TCGA-D3-A8GS-06A-12R-A37K-07,TCGA-D3-A8GV
TCGA-D3-A8GV-06A-11R-A37K-07,TCGA-D9-A148
TCGA-D9-A148-06A-11R-A18S-07,TCGA-D9-A149
TCGA-D9-A149-06A-11R-A18S-07,TCGA-D9-A1JW
TCGA-D9-A1JW-06A-11R-A18S-07,TCGA-D9-A1JX
TCGA-D9-A1JX-06A-11R-A18S-07,TCGA-D9-A1X3
TCGA-D9-A1X3-06A-11R-A18S-07,TCGA-D9-A3Z1
TCGA-D9-A3Z1-06A-11R-A239-07,TCGA-D9-A3Z3
TCGA-D9-A3Z3-06A-11R-A239-07,TCGA-D9-A3Z4
TCGA-D9-A3Z4-01A-11R-A239-07,TCGA-D9-A4Z2
TCGA-D9-A4Z2-01A-11R-A24X-07,TCGA-D9-A4Z3
TCGA-D9-A4Z3-01A-11R-A266-07,TCGA-D9-A4Z5
TCGA-D9-A4Z5-01A-11R-A266-07,TCGA-D9-A4Z6
